# output_voltage.csv run at 2000-01-01 03:00:00 EST on 113 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
node799,4800.000000,0.000000,-2400.000000,-4156.921938,-2400.000000,4156.921938
node781,5019.607843,0.000000,-2461.538462,-4263.509680,-2400.000000,4156.921938
node701,4986.693924,-2.642931,-2454.542362,-4237.032302,-2373.523677,4133.114674
node702,4966.919958,-4.923764,-2449.123539,-4220.697771,-2358.647200,4119.241777
node703,4947.435405,-6.707484,-2443.205091,-4210.747449,-2344.712455,4111.118711
node727,4945.228081,-6.358180,-2441.619244,-4210.184369,-2344.052270,4110.234576
node744,4944.010808,-6.543965,-2440.680023,-4209.630844,-2343.731324,4109.893435
node728,4943.388940,-6.439954,-2440.287319,-4209.168580,-2343.495196,4109.342967
node729,4943.529841,-6.570404,-2440.204039,-4209.624369,-2343.704316,4109.914197
node730,4932.572161,-3.893854,-2436.320427,-4204.419152,-2336.421814,4102.276876
node709,4928.786729,-3.447107,-2434.025539,-4202.309720,-2334.827248,4099.820728
node708,4922.839825,-2.821311,-2430.332777,-4200.830465,-2332.403727,4097.787997
node732,4922.374633,-2.475130,-2430.332777,-4200.830465,-2331.938536,4097.441816
node733,4917.199348,-2.333003,-2426.640015,-4199.351209,-2330.286633,4095.892755
node734,4909.249864,-1.326900,-2422.081001,-4196.833743,-2326.687772,4092.490464
node710,4907.636887,-0.146572,-2421.565429,-4194.139590,-2325.598181,4088.693700
node735,4907.043325,0.273623,-2421.565429,-4194.139590,-2325.004619,4088.273504
node736,4907.465280,0.069600,-2420.296328,-4187.507828,-2326.714907,4082.037070
node737,4902.101949,-1.082673,-2416.866414,-4195.831293,-2324.514128,4091.295627
node738,4899.924824,-0.804128,-2415.873888,-4195.235594,-2323.284210,4090.449990
node711,4898.726283,0.118174,-2415.873888,-4195.235594,-2322.085669,4089.527688
node740,4898.132303,0.539376,-2415.873888,-4195.235594,-2321.491689,4089.106485
node741,4898.305047,0.712916,-2415.873888,-4195.235594,-2321.664434,4088.932946
node731,4928.630557,-3.248838,-2434.115143,-4198.784004,-2334.589299,4096.259840
node775,487.526085,-1.465153,-248.712229,-412.048123,-238.813856,413.513276
node705,4965.245489,-4.108374,-2448.036589,-4216.368672,-2358.065181,4114.224268
node712,4964.539966,-3.611270,-2448.036589,-4216.368672,-2357.359658,4113.727163
node742,4964.846611,-4.118868,-2447.167028,-4212.905393,-2358.540263,4110.873065
node713,4963.196260,-5.087396,-2445.904095,-4216.091536,-2357.998736,4115.015735
node704,4958.816706,-5.741625,-2441.253787,-4209.438085,-2358.061188,4109.329325
node714,4957.915260,-6.050201,-2440.269469,-4209.051020,-2358.120340,4109.269396
node718,4952.692886,-8.170911,-2434.998057,-4207.049550,-2358.041768,4109.486078
node720,4956.670244,-4.018191,-2439.056633,-4202.351659,-2358.017576,4100.849759
node706,4956.644848,-3.984478,-2439.058908,-4201.761851,-2357.990625,4100.253535
node725,4956.632225,-3.968629,-2438.966505,-4201.274853,-2358.071838,4099.764729
node707,4955.904501,-2.173835,-2432.101548,-4190.409061,-2364.114106,4087.445238
node722,4955.820776,-1.953481,-2431.311314,-4189.473455,-2364.806648,4086.321231
node724,4955.802189,-2.045814,-2431.360859,-4186.468942,-2364.764274,4083.490648
load701,4986.693924,-2.642931,-2454.542362,-4237.032302,-2373.523677,4133.114674
load712,4964.539966,-3.611270,-2448.036589,-4216.368672,-2357.359658,4113.727163
load713,4963.196260,-5.087396,-2445.904095,-4216.091536,-2357.998736,4115.015735
load714,4957.915260,-6.050201,-2440.269469,-4209.051020,-2358.120340,4109.269396
load718,4952.692886,-8.170911,-2434.998057,-4207.049550,-2358.041768,4109.486078
load720,4956.670244,-4.018191,-2439.056633,-4202.351659,-2358.017576,4100.849759
load722,4955.820776,-1.953481,-2431.311314,-4189.473455,-2364.806648,4086.321231
load724,4955.802189,-2.045814,-2431.360859,-4186.468942,-2364.764274,4083.490648
load725,4956.632225,-3.968629,-2438.966505,-4201.274853,-2358.071838,4099.764729
load727,4945.228081,-6.358180,-2441.619244,-4210.184369,-2344.052270,4110.234576
load728,4943.388940,-6.439954,-2440.287319,-4209.168580,-2343.495196,4109.342967
load729,4943.529841,-6.570404,-2440.204039,-4209.624369,-2343.704316,4109.914197
load730,4932.572161,-3.893854,-2436.320427,-4204.419152,-2336.421814,4102.276876
load731,4928.630557,-3.248838,-2434.115143,-4198.784004,-2334.589299,4096.259840
load732,4922.374633,-2.475130,-2430.332777,-4200.830465,-2331.938536,4097.441816
load733,4917.199348,-2.333003,-2426.640015,-4199.351209,-2330.286633,4095.892755
load734,4909.249864,-1.326900,-2422.081001,-4196.833743,-2326.687772,4092.490464
load735,4907.043325,0.273623,-2421.565429,-4194.139590,-2325.004619,4088.273504
load736,4907.465280,0.069600,-2420.296328,-4187.507828,-2326.714907,4082.037070
load737,4902.101949,-1.082673,-2416.866414,-4195.831293,-2324.514128,4091.295627
load738,4899.924824,-0.804128,-2415.873888,-4195.235594,-2323.284210,4090.449990
load740,4898.132303,0.539376,-2415.873888,-4195.235594,-2321.491689,4089.106485
load741,4898.305047,0.712916,-2415.873888,-4195.235594,-2321.664434,4088.932946
load742,4964.846611,-4.118868,-2447.167028,-4212.905393,-2358.540263,4110.873065
load744,4944.010808,-6.543965,-2440.680023,-4209.630844,-2343.731324,4109.893435
load775,487.526085,-1.465153,-248.712229,-412.048123,-238.813856,413.513276
