# output_voltage.csv run at 1999-12-31 19:00:00 EST on 113 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
node1,4800.000000,0.000000,-2400.000000,-4156.921938,-2400.000000,4156.921938
node2,4777.269761,-6.744819,-2394.476065,-4133.864564,-2382.793696,4140.609383
node3,4764.974306,-11.094221,-2392.095030,-4121.041687,-2372.879276,4132.135907
node4,4763.215981,-10.916895,-2391.062299,-4119.607596,-2372.153682,4130.524491
node5,4762.479161,-10.838585,-2390.626070,-4119.008646,-2371.853091,4129.847231
node6,4762.713602,-10.869232,-2390.769832,-4119.196354,-2371.943770,4130.065586
node7,4762.180679,-11.384881,-2390.949936,-4118.477005,-2371.230744,4129.861886
node8,4758.778128,-11.732239,-2389.549481,-4115.356630,-2369.228647,4127.088869
node9,4754.953907,-12.106237,-2387.961263,-4111.857758,-2366.992644,4123.963996
node10,4754.587495,-12.139344,-2387.806728,-4111.523883,-2366.780767,4123.663227
node11,4754.293491,-12.101538,-2387.626985,-4111.288171,-2366.666506,4123.389709
node12,4750.283700,-11.515699,-2385.114738,-4108.108510,-2365.168962,4119.624209
node13,4749.484867,-11.413092,-2384.626461,-4107.468003,-2364.858405,4118.881096
node14,4749.800674,-11.454873,-2384.820548,-4107.720610,-2364.980126,4119.175483
node15,4758.534380,-11.706609,-2389.405411,-4115.158354,-2369.128969,4126.864963
node16,4757.439736,-11.592383,-2388.759166,-4114.267477,-2368.680570,4125.859859
node17,4754.636877,-14.714003,-2390.061139,-4110.279319,-2364.575738,4124.993322
node18,4753.124251,-14.518702,-2389.135690,-4109.066998,-2363.988561,4123.585700
node19,4752.268812,-14.595548,-2388.774522,-4108.287743,-2363.494291,4122.883291
node20,4752.097733,-14.610915,-2388.702290,-4108.131901,-2363.395443,4122.742815
node21,4751.638494,-14.514169,-2388.388886,-4107.782561,-2363.249608,4122.296730
node22,4747.129602,-15.479599,-2386.970527,-4103.395031,-2360.159075,4118.874630
node23,4744.871314,-15.707044,-2386.038356,-4101.325574,-2358.832958,4117.032617
node24,4744.138438,-15.790310,-2385.744029,-4100.649251,-2358.394409,4116.439562
node25,4744.860308,-15.710190,-2386.035578,-4101.314469,-2358.824730,4117.024659
node26,4741.668501,-16.024791,-2384.712127,-4098.392983,-2356.956374,4114.417774
node27,4741.331615,-15.981189,-2384.505923,-4098.123032,-2356.825692,4114.104220
node28,4738.661656,-16.324996,-2383.468689,-4095.638877,-2355.192967,4111.963872
node29,4734.084495,-16.772628,-2381.567770,-4091.451122,-2352.516725,4108.223750
node30,4732.435475,-16.585561,-2380.581255,-4090.116563,-2351.854220,4106.702124
node31,4731.085029,-16.410640,-2379.754545,-4089.034503,-2351.330484,4105.445142
node32,4732.012244,-16.540944,-2380.331000,-4089.772342,-2351.681244,4106.313286
node33,4730.422535,-17.125097,-2380.042037,-4088.103537,-2350.380498,4105.228635
node34,4728.952245,-17.272329,-2379.434398,-4086.756613,-2349.517847,4104.028941
node35,4728.216295,-17.349785,-2379.133502,-4086.080534,-2349.082793,4103.430319
node36,4727.970636,-17.371702,-2379.029653,-4085.856829,-2348.940983,4103.228530
node37,4727.792694,-17.305058,-2378.882967,-4085.736048,-2348.909727,4103.041106
load701,4777.269761,-6.744819,-2394.476065,-4133.864564,-2382.793696,4140.609383
load742,4762.479161,-10.838585,-2390.626070,-4119.008646,-2371.853091,4129.847231
load712,4762.713602,-10.869232,-2390.769832,-4119.196354,-2371.943770,4130.065586
load713,4762.180679,-11.384881,-2390.949936,-4118.477005,-2371.230744,4129.861886
load720,4754.953907,-12.106237,-2387.961263,-4111.857758,-2366.992644,4123.963996
