# file...... overhead_line_losses.csv
# date...... Tue Jul 28 15:19:57 2020
# user...... isla
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 1
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_B.real),sum(power_losses_C.real)
2000-01-01 03:00:01 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:02 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:03 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:04 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:05 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:06 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:07 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:08 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:09 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:10 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:11 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:12 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:13 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:14 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:15 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:16 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:17 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:18 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:19 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:20 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:21 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:22 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:23 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:24 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:25 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:26 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:27 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:28 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:29 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:30 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:31 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:32 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:33 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:34 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:35 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:36 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:37 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:38 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:39 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:40 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:41 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:42 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:43 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:44 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:45 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:46 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:47 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:48 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:49 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:50 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:51 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:52 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:53 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:54 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:55 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:56 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:57 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:58 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:00:59 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:00 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:01 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:02 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:03 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:04 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:05 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:06 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:07 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:08 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:09 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:10 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:11 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:12 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:13 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:14 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:15 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:16 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:17 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:18 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:19 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:20 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:21 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:22 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:23 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:24 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:25 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:26 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:27 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:28 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:29 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:30 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:31 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:32 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:33 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:34 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:35 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:36 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:37 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:38 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:39 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:40 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:41 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:42 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:43 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:44 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:45 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:46 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:47 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:48 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:49 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:50 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:51 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:52 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:53 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:54 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:55 EST,+34848.6,+30281.4,+29762.7
2000-01-01 03:01:56 EST,+34848.6,+30281.4,+29762.7
